0.000000e+00;7.040128e-01
1.579658e-09;7.374257e-01
3.159315e-09;7.850167e-01
4.738973e-09;7.831492e-01
6.318631e-09;6.829897e-01
7.898288e-09;6.040705e-01
9.477946e-09;6.029415e-01
1.105760e-08;6.427458e-01
1.263726e-08;7.039750e-01
1.421692e-08;7.657479e-01
1.579658e-08;8.384634e-01
1.737624e-08;8.490808e-01
1.895589e-08;8.200363e-01
2.053555e-08;7.926071e-01
2.211521e-08;7.662240e-01
2.369487e-08;7.687724e-01
2.527452e-08;7.918160e-01
2.685418e-08;7.743217e-01
2.843384e-08;7.477910e-01
3.001350e-08;7.475567e-01
3.159315e-08;8.075853e-01
3.317281e-08;8.661010e-01
3.475247e-08;8.526378e-01
3.633213e-08;7.873568e-01
3.791179e-08;7.058399e-01
3.949144e-08;6.785414e-01
4.107110e-08;7.077192e-01
4.265076e-08;7.453674e-01
4.423042e-08;7.752033e-01
4.581008e-08;7.772880e-01
4.738973e-08;6.928735e-01
4.896939e-08;6.482344e-01
5.054905e-08;6.707365e-01
5.212870e-08;7.058140e-01
5.370836e-08;7.108822e-01
5.528802e-08;7.113684e-01
5.686768e-08;7.294793e-01
5.844734e-08;7.407749e-01
6.002699e-08;7.545979e-01
6.160665e-08;6.900008e-01
6.318631e-08;6.726400e-01
6.476597e-08;7.298416e-01
6.634563e-08;8.737295e-01
6.792528e-08;9.275205e-01
6.950494e-08;9.388005e-01
7.108460e-08;9.240550e-01
7.266426e-08;8.502934e-01
7.424391e-08;7.234261e-01
7.582357e-08;6.204470e-01
7.740323e-08;5.375240e-01
7.898289e-08;4.800132e-01
8.056254e-08;4.289378e-01
8.214220e-08;3.862238e-01
8.372186e-08;3.541026e-01
8.530152e-08;3.419231e-01
8.688117e-08;3.252682e-01
8.846084e-08;3.469445e-01
9.004049e-08;3.678871e-01
9.162015e-08;3.740376e-01
9.319981e-08;3.492929e-01
9.477947e-08;3.584768e-01
9.635912e-08;3.830756e-01
9.793878e-08;3.741021e-01
9.951844e-08;3.937547e-01
1.010981e-07;3.931964e-01
1.026778e-07;4.071833e-01
1.042574e-07;4.163060e-01
1.058371e-07;4.426801e-01
1.074167e-07;4.512604e-01
1.089964e-07;4.105612e-01
1.105760e-07;3.685284e-01
1.121557e-07;3.687744e-01
1.137354e-07;3.914369e-01
1.153150e-07;3.950332e-01
1.168947e-07;3.849271e-01
1.184743e-07;4.187770e-01
1.200540e-07;4.247633e-01
1.216336e-07;3.956757e-01
1.232133e-07;3.214040e-01
1.247930e-07;2.590919e-01
1.263726e-07;2.508992e-01
1.279523e-07;2.741201e-01
1.295319e-07;3.193004e-01
1.311116e-07;3.670617e-01
1.326913e-07;3.956900e-01
1.342709e-07;3.773848e-01
1.358506e-07;3.094921e-01
1.374302e-07;2.861450e-01
1.390099e-07;2.862732e-01
1.405895e-07;3.026502e-01
1.421692e-07;3.058020e-01
1.437488e-07;3.160102e-01
1.453285e-07;3.243210e-01
1.469082e-07;3.271622e-01
