Distance (nm),C %,C % Error,Fe %,Fe % Error,Si %,Si % Error,C3 %,C3 % Error,C2 %,C2 % Error,Mn %,Mn % Error,Ga %,Ga % Error,Cr %,Cr % Error,V %,V % Error,P %,P % Error,FeC2 %,FeC2 % Error,C4 %,C4 % Error,B %,B % Error,Ni %,Ni % Error,Co %,Co % Error,Zn %,Zn % Error,FeO %,FeO % Error,Cu %,Cu % Error,Mo %,Mo % Error,MoC %,MoC % Error,Mo2 %,Mo2 % Error,W %,W % Error,O %,O % Error,WC %,WC % Error,Pb %,Pb % Error,Bi %,Bi % Error,Sample Count
10.75,0.405067421,0.033117138,74.17627229,0.228198346,1.120052197,0.054871113,0,0,0,0,1.242387995,0.057754315,0.00815572,0.004708515,14.16376686,0.181800567,0.070682906,0.013857158,0.005437147,0.003844539,0,0,0,0,0.005437147,0.003844539,7.337429317,0.135954836,0.274575903,0.027283789,0.133210091,0.019017334,0,0,0.228360157,0.02488767,0.810134841,0.046739367,0,0,0,0,0.00815572,0.004708515,0.00815572,0.004708515,0,0,0.002718573,0.002718536,0,0,36784
11.25,0.38377193,0.032372351,73.58826754,0.230821001,1.027960526,0.052810109,0,0,0,0,1.274671053,0.058733508,0.002741228,0.00274119,14.70394737,0.185418909,0.049342105,0.011627176,0.005482456,0.003876576,0,0,0,0,0,0,7.579495614,0.138572453,0.304276316,0.028836658,0.123355263,0.018377372,0,0,0.208333333,0.023872566,0.745614035,0.045040632,0,0,0,0,0.002741228,0.00274119,0,0,0,0,0,0,0,0,36480
11.75,0.33923755,0.030660985,74.3486361,0.230284007,1.056641548,0.053917433,0,0,0,0,1.276311765,0.059191741,0.005561271,0.003932303,14.16733865,0.183883377,0.047270806,0.011462144,0.005561271,0.003932303,0,0,0,0,0.002780636,0.002780597,7.360342574,0.13769543,0.272502294,0.027489357,0.119567333,0.018222943,0,0,0.205767038,0.02389531,0.773016712,0.046182919,0,0,0,0,0.016683814,0.00681057,0.002780636,0.002780597,0,0,0,0,0,0,35963
12.25,0.453054645,0.035405502,73.04185891,0.233944248,1.1868364,0.057093192,0,0,0,0,1.298015454,0.059673892,0,0,14.67285563,0.186544487,0.066707432,0.013612055,0.005558953,0.003930664,0,0,0,0,0,0,7.751959531,0.140982697,0.369670354,0.031995182,0.122296959,0.018425683,0,0,0.222358108,0.024832737,0.786591806,0.046573769,0,0,0,0,0.008338429,0.004813994,0.008338429,0.004813994,0,0,0.005558953,0.003930664,0,0,35978
12.75,0.356099597,0.031418964,73.52900264,0.232699391,1.154541661,0.056346108,0,0,0,0,1.14063152,0.056009585,0.002782028,0.002781989,14.33857282,0.184852944,0.052858534,0.012123374,0.008346084,0.004818413,0,0,0,0,0,0,7.95938239,0.142761204,0.356099597,0.031418964,0.077896787,0.014715374,0,0,0.244818473,0.026065771,0.770621783,0.046123423,0,0,0,0,0.005564056,0.003934272,0.002782028,0.002781989,0,0,0,0,0,0,35945
13.25,0.377651894,0.032322177,72.91180718,0.234188372,1.196823281,0.057302933,0,0,0,0,1.257914029,0.058729054,0,0,14.61457292,0.186149263,0.061090748,0.013020612,0.008330556,0.004809449,0,0,0,0,0,0,7.964011996,0.142666226,0.299900033,0.028814589,0.094412973,0.016184046,0,0,0.252693547,0.026455992,0.935799178,0.050737151,0,0,0,0,0.019437965,0.007346146,0.002776852,0.002776814,0,0,0.002776852,0.002776814,0,0,36012
13.75,0.420331812,0.034134152,72.62832647,0.235240097,1.263779089,0.058936113,0,0,0,0,1.263779089,0.058936113,0.005567309,0.003936572,14.71161341,0.186888577,0.083509631,0.015240335,0.011134618,0.005566999,0,0,0,0,0.002783654,0.002783616,8.10043425,0.143952276,0.286716401,0.028210477,0.11412983,0.017813911,0,0,0.253312549,0.026520716,0.837879969,0.048091848,0,0,0,0,0.013918272,0.006224007,0,0,0,0,0,0,0.002783654,0.002783616,35924
14.25,0.409859235,0.033967133,72.50268528,0.237386244,1.187178472,0.057583495,0,0,0,0,1.336989089,0.061062485,0,0,14.94996891,0.189579225,0.090451693,0.015982518,0.005653231,0.003997325,0,0,0,0,0,0,8.058680536,0.144717382,0.310927695,0.029599668,0.127197693,0.018949449,0,0,0.220476002,0.024936456,0.797105546,0.047277385,0,0,0,0,0,0,0.002826615,0.002826575,0,0,0,0,0,0,35378
14.75,0.431166375,0.034557375,72.78088403,0.234748196,1.165540071,0.056607555,0,0,0,0,1.326879746,0.06034924,0.005563437,0.003933835,14.54560628,0.185947227,0.055634371,0.012436763,0.022253748,0.007867013,0,0,0,0,0,0,8.189379399,0.144620064,0.26704498,0.027218748,0.127959053,0.018854459,0,0,0.261481543,0.026934478,0.801134941,0.047017852,0,0,0,0,0.013908593,0.006219679,0,0,0,0,0.005563437,0.003933835,0,0,35949
15.25,0.439035234,0.034851011,72.14349228,0.236310522,1.194842725,0.057275162,0,0,0,0,1.353228854,0.060904335,0.002778704,0.002778665,15.06613316,0.188565611,0.05557408,0.012423289,0.011114816,0.005557099,0,0,0,0,0.005557408,0.003929572,8.224963877,0.144827297,0.313993553,0.029491619,0.161164833,0.02114492,0,0,0.252862065,0.026473612,0.747471379,0.045403488,0,0,0,0,0.016672224,0.00680584,0.011114816,0.005557099,0,0,0,0,0,0,35988
15.75,0.393210201,0.032932528,71.80516711,0.236772264,1.104865284,0.055006035,0,0,0,0,1.401157478,0.061851124,0.008307258,0.004795998,15.29089248,0.189386791,0.077534406,0.014646944,0.01384543,0.006191436,0,0,0,0,0,0,8.254645142,0.144813638,0.335059397,0.030408873,0.102456179,0.016835061,0,0,0.274139507,0.027514266,0.913798355,0.050072583,0,0,0,0,0.016614516,0.006782284,0.005538172,0.00391597,0,0,0.002769086,0.002769048,0,0,36113
16.25,0.403472647,0.033438916,71.42300629,0.238314452,1.124158273,0.055613711,0,0,0,0,1.435806111,0.062752428,0.00278257,0.002782531,15.55178363,0.191165004,0.04173855,0.010774598,0.00556514,0.003935039,0,0,0,0,0.00556514,0.003935039,8.506316434,0.147159862,0.336690968,0.030556699,0.114085369,0.017806975,0,0,0.200345039,0.023587226,0.823640715,0.047675585,0,0,0,0,0.02226056,0.00786942,0.00278257,0.002782531,0,0,0,0,0,0,35938
16.75,0.49020981,0.03696544,71.87036051,0.237973703,1.140087958,0.056188995,0,0,0,0,1.229726323,0.058329646,0.005602398,0.003961383,14.9387938,0.188666811,0.070029973,0.01400109,0.014005995,0.006263233,0,0,0,0,0,0,8.58287347,0.14825253,0.288523488,0.028388022,0.140059946,0.019793591,0,0,0.252107902,0.026540987,0.955208829,0.051479813,0,0,0,0,0.016807193,0.006860931,0.005602398,0.003961383,0,0,0,0,0,0,35699
17.25,0.365713,0.032016447,71.22963963,0.24010519,1.189973837,0.057513227,0,0,0,0,1.417841168,0.062706343,0.002813177,0.002813137,15.63001097,0.192607042,0.084395308,0.015401901,0.008439531,0.00487236,0,0,0,0,0,0,8.492981124,0.147861738,0.278504515,0.027951752,0.112527077,0.01778208,0,0,0.312262638,0.029592347,0.860832138,0.04899823,0,0,0,0,0.005626354,0.003978321,0.005626354,0.003978321,0,0,0.002813177,0.002813137,0,0,35547
17.75,0.429594272,0.034655958,71.44180823,0.239345407,1.151200337,0.056525535,0,0,0,0,1.375824793,0.061724387,0.002807806,0.002807766,15.13968833,0.189930322,0.081426365,0.015114339,0.011231223,0.005615296,0,0,0,0,0,0,8.751930366,0.149743264,0.308858627,0.029403002,0.140390285,0.019840243,0,0,0.227432262,0.025241499,0.915344658,0.050463696,0,0,0,0,0.011231223,0.005615296,0.005615611,0.003970725,0,0,0.005615611,0.003970725,0,0,35615
18.25,0.361622134,0.032157558,71.72172316,0.241264852,1.145136756,0.056999353,0,0,0,0,1.360388026,0.062058219,0.002870017,0.002869976,15.15942944,0.192125693,0.068880406,0.014055311,0.014350085,0.006417092,0,0,0,0,0.005740034,0.0040587,8.615790833,0.150322982,0.295611744,0.029084407,0.134890796,0.01966257,0,0,0.287001693,0.028658955,0.817954826,0.0482529,0,0,0,0,0.008610051,0.004970801,0,0,0,0,0,0,0,0,34843
18.75,0.46047363,0.036206756,71.63654044,0.241066214,1.206955726,0.058398044,0,0,0,0,1.410021737,0.063054884,0,0,15.16702894,0.191832436,0.08008237,0.015128084,0.008580254,0.004953599,0,0,0,0,0,0,8.360027457,0.148025239,0.300308889,0.029263108,0.145864318,0.020410188,0,0,0.297448804,0.029123844,0.92094726,0.051085512,0,0,0,0,0.002860085,0.002860044,0.002860085,0.002860044,0,0,0,0,0,0,34964
19.25,0.429135435,0.034963499,71.60267781,0.24118755,1.235910053,0.059094155,0,0,0,0,1.476225897,0.064505759,0.002860903,0.002860862,15.07123648,0.191360987,0.062939864,0.0134146,0.005721806,0.004045812,0,0,0,0,0.002860903,0.002860862,8.416776335,0.148502039,0.331864737,0.030761696,0.165932368,0.021769903,0,0,0.257481261,0.027105944,0.912628025,0.050863661,0,0,0,0,0.02002632,0.00756848,0.005721806,0.004045812,0,0,0,0,0,0,34954
19.75,0.473637936,0.036564304,71.03150969,0.241575818,1.168495987,0.057230339,0,0,0,0,1.486145381,0.064438335,0.002836155,0.002836115,15.58467342,0.193163253,0.087920815,0.015784101,0.005672311,0.004010816,0,0,0,0,0,0,8.465923594,0.148249617,0.32615786,0.030364737,0.116282368,0.018149693,0,0,0.260926288,0.027167932,0.984145892,0.052571106,0,0,0,0,0,0,0.002836155,0.002836115,0,0,0.002836155,0.002836115,0,0,35259
