"","HAADF","O","Cr","Fe","Ni","Pb","Bi"
"Position","Intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity"
"m","Counts","Counts","Counts","Counts","Counts","Counts","Counts"
2.541843e-09,2.141082e+04,1.769193e-01,2.513974e-01,1.639117e+00,4.517614e-02,1.953623e-02,1.478421e-02
2.594798e-09,2.145172e+04,1.683402e-01,2.445410e-01,1.646451e+00,4.955920e-02,1.717988e-02,1.278461e-02
2.647753e-09,2.138503e+04,1.576490e-01,2.244444e-01,1.633159e+00,5.524385e-02,1.208416e-02,7.863315e-03
2.700708e-09,2.139499e+04,1.527131e-01,2.251388e-01,1.585534e+00,6.113098e-02,1.225758e-02,5.205616e-03
2.753663e-09,2.135888e+04,1.443877e-01,2.513453e-01,1.620641e+00,5.976602e-02,1.858118e-02,7.349293e-03
2.806618e-09,2.135014e+04,1.559590e-01,2.599398e-01,1.722048e+00,5.562340e-02,2.704587e-02,1.137015e-02
2.859573e-09,2.130000e+04,1.818923e-01,2.439304e-01,1.780778e+00,5.710500e-02,2.808695e-02,1.427456e-02
2.912528e-09,2.134380e+04,1.730753e-01,2.268951e-01,1.808839e+00,5.452538e-02,1.940013e-02,1.026450e-02
2.965483e-09,2.132109e+04,1.326758e-01,2.032509e-01,1.791879e+00,4.747726e-02,1.054619e-02,6.269173e-03
3.018438e-09,2.129348e+04,1.112236e-01,1.859678e-01,1.735413e+00,4.611501e-02,1.102155e-02,6.082542e-03
3.071393e-09,2.123822e+04,1.127876e-01,1.956489e-01,1.744372e+00,4.835357e-02,1.887302e-02,6.756146e-03
3.124348e-09,2.126363e+04,1.157184e-01,2.077959e-01,1.782643e+00,5.750380e-02,1.994210e-02,6.768739e-03
3.177304e-09,2.130117e+04,1.292828e-01,1.900349e-01,1.751186e+00,6.860881e-02,1.071721e-02,4.300939e-03
3.230259e-09,2.126532e+04,1.620669e-01,1.855532e-01,1.751727e+00,6.991658e-02,4.799015e-03,3.207832e-03
3.283214e-09,2.126147e+04,2.030580e-01,1.894981e-01,1.777961e+00,5.777544e-02,4.330425e-03,5.168592e-03
3.336169e-09,2.126245e+04,2.131200e-01,1.839576e-01,1.764248e+00,4.869330e-02,3.675139e-03,8.518266e-03
3.389124e-09,2.121403e+04,1.757874e-01,1.985215e-01,1.759596e+00,5.274144e-02,4.536765e-03,1.012515e-02
3.442079e-09,2.122169e+04,1.498156e-01,1.940107e-01,1.781996e+00,6.756050e-02,1.089258e-02,6.084155e-03
3.495034e-09,2.124852e+04,1.394133e-01,1.635150e-01,1.757887e+00,6.886484e-02,1.887876e-02,3.642874e-03
3.547989e-09,2.121189e+04,1.392281e-01,1.528780e-01,1.761146e+00,6.703796e-02,1.847945e-02,8.853732e-03
3.600944e-09,2.122785e+04,1.582991e-01,1.515459e-01,1.810192e+00,7.686156e-02,1.099741e-02,1.513757e-02
3.653899e-09,2.122815e+04,1.907623e-01,1.363916e-01,1.828638e+00,7.402312e-02,5.482127e-03,1.386025e-02
3.706854e-09,2.118187e+04,1.929152e-01,1.263248e-01,1.790854e+00,6.560847e-02,7.138185e-03,1.082700e-02
3.759809e-09,2.121728e+04,1.636468e-01,1.424162e-01,1.708189e+00,6.849226e-02,1.315469e-02,8.261473e-03
3.812764e-09,2.122948e+04,1.412277e-01,1.775147e-01,1.656269e+00,7.398351e-02,1.511303e-02,6.534111e-03
3.865719e-09,2.117499e+04,1.325689e-01,2.002736e-01,1.725680e+00,8.527169e-02,1.250289e-02,5.116444e-03
3.918674e-09,2.114849e+04,1.394853e-01,2.192400e-01,1.774327e+00,9.165139e-02,1.579290e-02,4.260323e-03
3.971629e-09,2.114533e+04,1.536845e-01,2.324609e-01,1.719685e+00,8.521404e-02,2.559316e-02,3.632068e-03
4.024584e-09,2.122018e+04,1.542219e-01,2.193365e-01,1.651242e+00,7.757901e-02,2.704893e-02,7.378228e-03
4.077540e-09,2.123085e+04,1.540054e-01,1.862143e-01,1.650831e+00,7.189123e-02,1.749566e-02,2.084325e-02
4.130495e-09,2.114105e+04,1.672869e-01,1.605548e-01,1.708229e+00,7.695626e-02,1.134486e-02,3.402728e-02
4.183450e-09,2.115854e+04,1.744086e-01,1.784797e-01,1.708897e+00,8.392992e-02,1.245288e-02,2.912660e-02
4.236405e-09,2.116062e+04,1.649428e-01,2.219391e-01,1.649484e+00,8.340571e-02,1.500125e-02,1.551035e-02
4.289360e-09,2.114992e+04,1.453922e-01,2.305431e-01,1.599973e+00,8.361170e-02,2.027217e-02,1.090713e-02
4.342315e-09,2.124235e+04,1.346122e-01,2.144030e-01,1.599706e+00,9.631745e-02,2.085111e-02,1.195263e-02
