"","HAADF","O","Cr","Fe","Ni","Pb","Bi"
"Position","Intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity"
"m","Counts","Counts","Counts","Counts","Counts","Counts","Counts"
1.090874e-08,2.175921e+04,2.292929e-01,3.802569e-01,1.333331e+00,2.163781e-01,1.723341e-02,1.055094e-02
1.096170e-08,2.176975e+04,1.948730e-01,3.601900e-01,1.340747e+00,2.171110e-01,1.233754e-02,1.218948e-02
1.101465e-08,2.183596e+04,1.421907e-01,3.575190e-01,1.432289e+00,2.231955e-01,2.179804e-02,9.546360e-03
1.106761e-08,2.177935e+04,1.148727e-01,3.430191e-01,1.496121e+00,2.209314e-01,4.125496e-02,1.287842e-02
1.112056e-08,2.175672e+04,1.206589e-01,3.545868e-01,1.428331e+00,2.155606e-01,5.557838e-02,1.821358e-02
1.117352e-08,2.171769e+04,1.470090e-01,3.961805e-01,1.326819e+00,1.988129e-01,4.818739e-02,1.187967e-02
1.122647e-08,2.172249e+04,1.651324e-01,4.093271e-01,1.298841e+00,1.841273e-01,3.237719e-02,4.346611e-03
1.127943e-08,2.176920e+04,1.733224e-01,3.706720e-01,1.303285e+00,1.820316e-01,1.668997e-02,2.496805e-03
1.133238e-08,2.170662e+04,1.767464e-01,3.209361e-01,1.310941e+00,1.758412e-01,6.237505e-03,3.488048e-03
1.138534e-08,2.170836e+04,1.697007e-01,3.012344e-01,1.366682e+00,1.720780e-01,2.769307e-03,4.941802e-03
1.143829e-08,2.168808e+04,1.477681e-01,2.911962e-01,1.400468e+00,1.858535e-01,4.293147e-03,4.103171e-03
1.149125e-08,2.162979e+04,1.299742e-01,2.966219e-01,1.390821e+00,2.172749e-01,1.183808e-02,3.478543e-03
1.154420e-08,2.167988e+04,1.343869e-01,3.396322e-01,1.350553e+00,2.448559e-01,2.137673e-02,4.172833e-03
1.159716e-08,2.166050e+04,1.388966e-01,3.783090e-01,1.326713e+00,2.419778e-01,2.478894e-02,4.653499e-03
1.165011e-08,2.158970e+04,1.400842e-01,3.881062e-01,1.388537e+00,2.154659e-01,2.319274e-02,9.912538e-03
1.170307e-08,2.159256e+04,1.561279e-01,3.931403e-01,1.452946e+00,1.870222e-01,2.048265e-02,2.114797e-02
1.175602e-08,2.165124e+04,1.624784e-01,4.065141e-01,1.426238e+00,1.727955e-01,2.030593e-02,2.547152e-02
1.180898e-08,2.163342e+04,1.329131e-01,4.210738e-01,1.409743e+00,1.846975e-01,2.031677e-02,1.882211e-02
1.186193e-08,2.158224e+04,1.162431e-01,4.128211e-01,1.419191e+00,2.168244e-01,1.534613e-02,1.380126e-02
1.191489e-08,2.161233e+04,1.386135e-01,4.068261e-01,1.356247e+00,2.410896e-01,1.717071e-02,9.598866e-03
1.196784e-08,2.165778e+04,1.496257e-01,3.871040e-01,1.299975e+00,2.257654e-01,2.827703e-02,5.481525e-03
1.202080e-08,2.157356e+04,1.605821e-01,3.597559e-01,1.320452e+00,2.127302e-01,3.468252e-02,6.023395e-03
1.207375e-08,2.153888e+04,1.787591e-01,3.531270e-01,1.392453e+00,2.256259e-01,2.862124e-02,8.713157e-03
1.212671e-08,2.153482e+04,1.932852e-01,3.528849e-01,1.461823e+00,2.228568e-01,1.468891e-02,7.777025e-03
1.217966e-08,2.156674e+04,1.957228e-01,3.332801e-01,1.456254e+00,2.029453e-01,7.800212e-03,4.158253e-03
1.223262e-08,2.150834e+04,1.898640e-01,3.116724e-01,1.451689e+00,2.151584e-01,7.227334e-03,1.846692e-03
1.228557e-08,2.146085e+04,1.907681e-01,2.965839e-01,1.489721e+00,2.293756e-01,5.936217e-03,1.469882e-03
1.233853e-08,2.144819e+04,1.786152e-01,2.878384e-01,1.531565e+00,2.065136e-01,9.094264e-03,2.027976e-03
1.239148e-08,2.149812e+04,1.542041e-01,2.810623e-01,1.566576e+00,1.805035e-01,1.461800e-02,4.016821e-03
1.244444e-08,2.147174e+04,1.315449e-01,2.765015e-01,1.579640e+00,1.881600e-01,1.287060e-02,9.143532e-03
1.249739e-08,2.140700e+04,1.336488e-01,2.916494e-01,1.521281e+00,2.051958e-01,1.157283e-02,2.076632e-02
1.255035e-08,2.134673e+04,1.662227e-01,3.132776e-01,1.418699e+00,1.878429e-01,1.786269e-02,2.899213e-02
1.260330e-08,2.141689e+04,1.961927e-01,3.192140e-01,1.363100e+00,1.727937e-01,2.386983e-02,1.858961e-02
1.265626e-08,2.139988e+04,1.991316e-01,3.055367e-01,1.382034e+00,1.900589e-01,2.366704e-02,5.839122e-03
1.270921e-08,2.138734e+04,1.788160e-01,2.791671e-01,1.387555e+00,2.227065e-01,2.008555e-02,2.348278e-03
1.276217e-08,2.137079e+04,1.695467e-01,2.663710e-01,1.398384e+00,2.461350e-01,2.040916e-02,5.800924e-03
1.281512e-08,2.133097e+04,1.842671e-01,2.995275e-01,1.376604e+00,2.298302e-01,2.811105e-02,1.352495e-02
1.286808e-08,2.130514e+04,1.914567e-01,3.581896e-01,1.347938e+00,2.069578e-01,3.453156e-02,1.654185e-02
1.292103e-08,2.127364e+04,1.802009e-01,3.731084e-01,1.379195e+00,2.080806e-01,3.131986e-02,9.741476e-03
1.297399e-08,2.126349e+04,1.785527e-01,3.414702e-01,1.427834e+00,2.146124e-01,2.962371e-02,3.066873e-03
1.302694e-08,2.119709e+04,2.015682e-01,3.279156e-01,1.442375e+00,2.153927e-01,2.563929e-02,1.391573e-03
1.307990e-08,2.124778e+04,2.150857e-01,3.424670e-01,1.368352e+00,1.990656e-01,1.982982e-02,2.669610e-03
1.313285e-08,2.125462e+04,1.954065e-01,3.596001e-01,1.270434e+00,1.887428e-01,1.899933e-02,5.722641e-03
1.318581e-08,2.120836e+04,1.602717e-01,3.812927e-01,1.193872e+00,1.874495e-01,3.701320e-02,7.760949e-03
1.323876e-08,2.120599e+04,1.406495e-01,3.777317e-01,1.177184e+00,1.757406e-01,5.472893e-02,7.111462e-03
1.329172e-08,2.125078e+04,1.539936e-01,3.479857e-01,1.225738e+00,1.730905e-01,3.902954e-02,8.491840e-03
1.334467e-08,2.118356e+04,1.775140e-01,3.254406e-01,1.261862e+00,1.915861e-01,1.958113e-02,1.171435e-02
1.339763e-08,2.119199e+04,1.778495e-01,3.187826e-01,1.251986e+00,2.003652e-01,1.374019e-02,1.112377e-02
1.345058e-08,2.116906e+04,1.719542e-01,3.210813e-01,1.240360e+00,2.050889e-01,1.060431e-02,9.463550e-03
1.350354e-08,2.121291e+04,1.857842e-01,3.218999e-01,1.284275e+00,2.240840e-01,9.917724e-03,7.500486e-03
1.355650e-08,2.118639e+04,1.980319e-01,3.472823e-01,1.345445e+00,2.142572e-01,1.477280e-02,9.912289e-03
1.360945e-08,2.118055e+04,2.028599e-01,3.776975e-01,1.380828e+00,1.801853e-01,2.427650e-02,1.470018e-02
1.366241e-08,2.117169e+04,1.893722e-01,3.698401e-01,1.428918e+00,1.609956e-01,3.270939e-02,1.231927e-02
1.371536e-08,2.125239e+04,1.547795e-01,3.742213e-01,1.418900e+00,1.576529e-01,3.337475e-02,9.740463e-03
1.376832e-08,2.117478e+04,1.226007e-01,4.024624e-01,1.356342e+00,1.619602e-01,2.296180e-02,1.050883e-02
1.382127e-08,2.119254e+04,1.199326e-01,3.918333e-01,1.366502e+00,1.745362e-01,1.236042e-02,8.115313e-03
1.387423e-08,2.119133e+04,1.656706e-01,3.572942e-01,1.405877e+00,1.857240e-01,9.241960e-03,6.061337e-03
1.392718e-08,2.119338e+04,2.076279e-01,3.285726e-01,1.414007e+00,1.849744e-01,7.144777e-03,5.025618e-03
1.398014e-08,2.123955e+04,1.907432e-01,3.125167e-01,1.394333e+00,1.843550e-01,3.439916e-03,4.356300e-03
1.403309e-08,2.117916e+04,1.563536e-01,3.195165e-01,1.316677e+00,2.019894e-01,1.539925e-03,4.858291e-03
1.408605e-08,2.119605e+04,1.595412e-01,3.257363e-01,1.253849e+00,2.303196e-01,2.949981e-03,4.530265e-03
1.413900e-08,2.121022e+04,1.854039e-01,3.081731e-01,1.295650e+00,2.086196e-01,8.271291e-03,3.111237e-03
1.419196e-08,2.119059e+04,1.821725e-01,3.034182e-01,1.349005e+00,1.665630e-01,1.426397e-02,2.619290e-03
1.424491e-08,2.118696e+04,1.575152e-01,3.407787e-01,1.374338e+00,1.684025e-01,1.584894e-02,4.401527e-03
1.429787e-08,2.116602e+04,1.378093e-01,3.961757e-01,1.376829e+00,2.024732e-01,1.654861e-02,6.324202e-03
1.435082e-08,2.119345e+04,1.393953e-01,4.059345e-01,1.367422e+00,2.241546e-01,1.700168e-02,4.712569e-03
1.440378e-08,2.122777e+04,1.809733e-01,3.739323e-01,1.361471e+00,2.075677e-01,1.876293e-02,3.329163e-03
1.445673e-08,2.126443e+04,2.213153e-01,3.406636e-01,1.344941e+00,2.020857e-01,2.347413e-02,4.995791e-03
1.450969e-08,2.126416e+04,2.033848e-01,3.347653e-01,1.331395e+00,2.208941e-01,2.152690e-02,8.575479e-03
1.456264e-08,2.130069e+04,1.896561e-01,3.553624e-01,1.358012e+00,2.464096e-01,2.068688e-02,1.108320e-02
1.461560e-08,2.137222e+04,2.036060e-01,3.464980e-01,1.388566e+00,2.687043e-01,2.748496e-02,9.310059e-03
1.466855e-08,2.133390e+04,2.091477e-01,3.224785e-01,1.397328e+00,2.739986e-01,2.955350e-02,6.558368e-03
1.472151e-08,2.137861e+04,1.940639e-01,3.597219e-01,1.366105e+00,2.660188e-01,2.790459e-02,5.604938e-03
1.477446e-08,2.142734e+04,1.685957e-01,4.124177e-01,1.334775e+00,2.546061e-01,2.523061e-02,3.366162e-03
1.482742e-08,2.134636e+04,1.512414e-01,4.099983e-01,1.351647e+00,2.402255e-01,2.074385e-02,1.577876e-03
1.488037e-08,2.138689e+04,1.506729e-01,3.992381e-01,1.405810e+00,2.154238e-01,1.553022e-02,2.003191e-03
1.493333e-08,2.139354e+04,1.600417e-01,3.904542e-01,1.423447e+00,1.946749e-01,1.427654e-02,4.885807e-03
1.498628e-08,2.143500e+04,1.741380e-01,3.630912e-01,1.461539e+00,1.919101e-01,1.779955e-02,1.041229e-02
1.503924e-08,2.131922e+04,1.746426e-01,3.624413e-01,1.509730e+00,1.872465e-01,1.666312e-02,1.445629e-02
1.509219e-08,2.141386e+04,1.666479e-01,3.924670e-01,1.445079e+00,1.809871e-01,1.277212e-02,1.289922e-02
1.514515e-08,2.135206e+04,1.751719e-01,4.055391e-01,1.325682e+00,2.022075e-01,9.425678e-03,8.965330e-03
1.519810e-08,2.136084e+04,2.000305e-01,3.834984e-01,1.256813e+00,2.078532e-01,7.306636e-03,7.244269e-03
1.525106e-08,2.141363e+04,2.017973e-01,3.601186e-01,1.267681e+00,1.959920e-01,7.014456e-03,7.716286e-03
1.530401e-08,2.143309e+04,1.877594e-01,3.605042e-01,1.336837e+00,1.905408e-01,6.802151e-03,1.134451e-02
1.535697e-08,2.144100e+04,1.881666e-01,3.856155e-01,1.422807e+00,1.710281e-01,1.000328e-02,1.298331e-02
1.540992e-08,2.149848e+04,2.015800e-01,3.875235e-01,1.511212e+00,1.606999e-01,1.608777e-02,1.094642e-02
1.546288e-08,2.140256e+04,1.975394e-01,3.489916e-01,1.526451e+00,1.776049e-01,1.956818e-02,1.040706e-02
1.551583e-08,2.142796e+04,2.034940e-01,3.289292e-01,1.504855e+00,1.978608e-01,2.134152e-02,1.208690e-02
1.556879e-08,2.142403e+04,2.242453e-01,3.389096e-01,1.478098e+00,2.115823e-01,1.986443e-02,1.503985e-02
1.562174e-08,2.141310e+04,2.254699e-01,3.567548e-01,1.436751e+00,2.219151e-01,1.169720e-02,1.198811e-02
1.567470e-08,2.143853e+04,2.000916e-01,3.865799e-01,1.437116e+00,2.046377e-01,5.309199e-03,6.561945e-03
1.572765e-08,2.144453e+04,1.658522e-01,4.009008e-01,1.454107e+00,1.728599e-01,8.441300e-03,4.287339e-03
1.578061e-08,2.143436e+04,1.568653e-01,3.844334e-01,1.468208e+00,1.619969e-01,1.818429e-02,2.335361e-03
1.583356e-08,2.143379e+04,1.707504e-01,3.507335e-01,1.483910e+00,1.854650e-01,2.086956e-02,8.829343e-04
1.588652e-08,2.136215e+04,1.775941e-01,3.493397e-01,1.477369e+00,2.178066e-01,1.217879e-02,1.988865e-03
1.593947e-08,2.134074e+04,1.944862e-01,3.804159e-01,1.472622e+00,2.179350e-01,6.693448e-03,7.469251e-03
1.599243e-08,2.139184e+04,2.142414e-01,4.048365e-01,1.428367e+00,1.948100e-01,7.344204e-03,1.194760e-02
1.604538e-08,2.134639e+04,2.148962e-01,3.897603e-01,1.398270e+00,1.888999e-01,8.928082e-03,7.726953e-03
1.609834e-08,2.131202e+04,2.093922e-01,3.504120e-01,1.398897e+00,2.038868e-01,1.617984e-02,3.325963e-03
1.615129e-08,2.136629e+04,1.925727e-01,3.153239e-01,1.391805e+00,2.147246e-01,2.460163e-02,4.499895e-03
1.620425e-08,2.136939e+04,1.793547e-01,3.412132e-01,1.371286e+00,2.132701e-01,2.158553e-02,8.181141e-03
1.625720e-08,2.132773e+04,1.873733e-01,3.996936e-01,1.341132e+00,2.086536e-01,1.311314e-02,9.401962e-03
1.631016e-08,2.138151e+04,1.848577e-01,4.129280e-01,1.331444e+00,1.952372e-01,1.242847e-02,6.465266e-03
1.636311e-08,2.134475e+04,1.744038e-01,3.867734e-01,1.362034e+00,1.816481e-01,1.658493e-02,3.740131e-03
1.641607e-08,2.137170e+04,1.858914e-01,3.679070e-01,1.377116e+00,1.670996e-01,1.596712e-02,4.292332e-03
1.646902e-08,2.132159e+04,1.941417e-01,3.648995e-01,1.334300e+00,1.628419e-01,1.548529e-02,5.771738e-03
1.652198e-08,2.132044e+04,2.084106e-01,3.712017e-01,1.257560e+00,1.859997e-01,1.692523e-02,5.755405e-03
1.657493e-08,2.132820e+04,2.358842e-01,3.691966e-01,1.249133e+00,2.311259e-01,1.682074e-02,6.371150e-03
1.662789e-08,2.127781e+04,2.299657e-01,3.807369e-01,1.370804e+00,2.553625e-01,1.092451e-02,8.022706e-03
1.668084e-08,2.131248e+04,1.985526e-01,3.960750e-01,1.454596e+00,2.255679e-01,6.398424e-03,1.032847e-02
1.673380e-08,2.126428e+04,1.638351e-01,3.809882e-01,1.423281e+00,1.899356e-01,7.622767e-03,8.802420e-03
1.678675e-08,2.124237e+04,1.336007e-01,3.595899e-01,1.379845e+00,1.706357e-01,1.262572e-02,4.574390e-03
1.683971e-08,2.128877e+04,1.358725e-01,3.595571e-01,1.352579e+00,1.582214e-01,1.537601e-02,3.787735e-03
1.689266e-08,2.128212e+04,1.552494e-01,3.704794e-01,1.395038e+00,1.687324e-01,1.671021e-02,9.570277e-03
1.694562e-08,2.125222e+04,1.532765e-01,3.580252e-01,1.432416e+00,1.891522e-01,2.249175e-02,1.497423e-02
1.699857e-08,2.123541e+04,1.472391e-01,3.278407e-01,1.408218e+00,2.156307e-01,2.559331e-02,1.072172e-02
1.705153e-08,2.118984e+04,1.576979e-01,3.314160e-01,1.356610e+00,2.384854e-01,2.477576e-02,8.657432e-03
1.710448e-08,2.117690e+04,1.641390e-01,3.631542e-01,1.319672e+00,2.173095e-01,2.566328e-02,2.101842e-02
1.715744e-08,2.118938e+04,1.569612e-01,3.599972e-01,1.357761e+00,1.889939e-01,2.808019e-02,3.165350e-02
1.721039e-08,2.123598e+04,1.572358e-01,3.168634e-01,1.401736e+00,1.808789e-01,2.564883e-02,1.934901e-02
1.726335e-08,2.125880e+04,1.688565e-01,2.611321e-01,1.356073e+00,1.905716e-01,1.679766e-02,5.452286e-03
1.731630e-08,2.123700e+04,1.781191e-01,2.659782e-01,1.294070e+00,2.096286e-01,1.267499e-02,2.083292e-03
1.736926e-08,2.123376e+04,1.803647e-01,3.121189e-01,1.292813e+00,2.163326e-01,1.191072e-02,2.125941e-03
1.742221e-08,2.123187e+04,1.841904e-01,3.328672e-01,1.370490e+00,2.049934e-01,8.652131e-03,4.303854e-03
1.747517e-08,2.117738e+04,1.882175e-01,3.321162e-01,1.431555e+00,1.981371e-01,4.915680e-03,6.780637e-03
1.752812e-08,2.111751e+04,1.773687e-01,3.378680e-01,1.438694e+00,2.063565e-01,5.611971e-03,5.254007e-03
1.758108e-08,2.122575e+04,1.577922e-01,3.590575e-01,1.431892e+00,2.171735e-01,8.819533e-03,3.499079e-03
1.763403e-08,2.117621e+04,1.627957e-01,3.556745e-01,1.347278e+00,2.285681e-01,9.077864e-03,3.512637e-03
1.768699e-08,2.122738e+04,1.782410e-01,3.048424e-01,1.278321e+00,2.389425e-01,9.612689e-03,4.065800e-03
1.773994e-08,2.117154e+04,1.700413e-01,2.824403e-01,1.341826e+00,2.104182e-01,1.293361e-02,7.432382e-03
1.779290e-08,2.116671e+04,1.715195e-01,3.350055e-01,1.455998e+00,1.878271e-01,1.524541e-02,1.111492e-02
1.784585e-08,2.107356e+04,1.678122e-01,3.868090e-01,1.514639e+00,2.129795e-01,1.729955e-02,1.010756e-02
1.789881e-08,2.118389e+04,1.412970e-01,3.908284e-01,1.514257e+00,2.275981e-01,2.704459e-02,9.521115e-03
1.795176e-08,2.111009e+04,1.127561e-01,3.705114e-01,1.466739e+00,2.148453e-01,3.420296e-02,1.053419e-02
1.800472e-08,2.108371e+04,1.093338e-01,3.391722e-01,1.415346e+00,1.851533e-01,2.491368e-02,8.132168e-03
1.805768e-08,2.114495e+04,1.392703e-01,3.210952e-01,1.343826e+00,1.664635e-01,1.547065e-02,5.415602e-03
1.811063e-08,2.111011e+04,1.618376e-01,3.434004e-01,1.267111e+00,1.839546e-01,1.881153e-02,2.983909e-03
1.816359e-08,2.104562e+04,1.470105e-01,3.571042e-01,1.230498e+00,2.004258e-01,3.004551e-02,2.289195e-03
1.821654e-08,2.109210e+04,1.453875e-01,3.204390e-01,1.308764e+00,1.861584e-01,4.307676e-02,3.541372e-03
1.826950e-08,2.110401e+04,1.534038e-01,2.813424e-01,1.431479e+00,1.843841e-01,4.139528e-02,3.570470e-03
1.832245e-08,2.111363e+04,1.607453e-01,2.931201e-01,1.500099e+00,1.971643e-01,2.672786e-02,2.787649e-03
1.837541e-08,2.112302e+04,1.894014e-01,3.643197e-01,1.512625e+00,2.030488e-01,2.046084e-02,5.312181e-03
1.842836e-08,2.108646e+04,2.102737e-01,3.897674e-01,1.442906e+00,2.001603e-01,1.738047e-02,1.034289e-02
1.848132e-08,2.110825e+04,1.867769e-01,3.790970e-01,1.335771e+00,2.027506e-01,1.426690e-02,1.058629e-02
1.853427e-08,2.105332e+04,1.650033e-01,3.678838e-01,1.253812e+00,2.048643e-01,1.926549e-02,6.582574e-03
1.858723e-08,2.106465e+04,1.721445e-01,3.350168e-01,1.275645e+00,2.024623e-01,2.381518e-02,7.750648e-03
1.864018e-08,2.100020e+04,1.727420e-01,3.273662e-01,1.367137e+00,1.973149e-01,1.872433e-02,1.279369e-02
1.869314e-08,2.104987e+04,1.556802e-01,3.230972e-01,1.391895e+00,1.904116e-01,1.279083e-02,1.218691e-02
1.874609e-08,2.108501e+04,1.431304e-01,2.938777e-01,1.331699e+00,1.848906e-01,1.626909e-02,1.064394e-02
1.879905e-08,2.100836e+04,1.381020e-01,2.820435e-01,1.301871e+00,1.728358e-01,2.041682e-02,1.131531e-02
1.885200e-08,2.095271e+04,1.295563e-01,2.896108e-01,1.373990e+00,1.621675e-01,1.646268e-02,7.433911e-03
1.890496e-08,2.098854e+04,1.181504e-01,2.938572e-01,1.478438e+00,1.674618e-01,1.357418e-02,4.053792e-03
1.895791e-08,2.105572e+04,1.241354e-01,3.187796e-01,1.459125e+00,1.588815e-01,1.262883e-02,4.097953e-03
1.901087e-08,2.103739e+04,1.432914e-01,3.424298e-01,1.345149e+00,1.480843e-01,1.077158e-02,3.919705e-03
1.906382e-08,2.099484e+04,1.345438e-01,3.528298e-01,1.323716e+00,1.952243e-01,5.856217e-03,5.396815e-03
1.911678e-08,2.097670e+04,1.249189e-01,3.803470e-01,1.360856e+00,2.762227e-01,2.532185e-03,9.048932e-03
1.916973e-08,2.098162e+04,1.373394e-01,3.908358e-01,1.367299e+00,3.113298e-01,3.733520e-03,1.152696e-02
1.922269e-08,2.091043e+04,1.599882e-01,3.939122e-01,1.399962e+00,3.028081e-01,8.881777e-03,1.207824e-02
1.927564e-08,2.093879e+04,1.747835e-01,3.974878e-01,1.478462e+00,2.684870e-01,1.276894e-02,1.015081e-02
1.932860e-08,2.088114e+04,1.801725e-01,3.656977e-01,1.452500e+00,2.154249e-01,1.233056e-02,1.251462e-02
1.938155e-08,2.090056e+04,1.731863e-01,3.326029e-01,1.342546e+00,1.949761e-01,1.809583e-02,1.660271e-02
1.943451e-08,2.090359e+04,1.581825e-01,3.333393e-01,1.301279e+00,1.977838e-01,2.659247e-02,1.297663e-02
1.948746e-08,2.097505e+04,1.438403e-01,3.449036e-01,1.300873e+00,1.899789e-01,2.509148e-02,5.819527e-03
1.954042e-08,2.096837e+04,1.253914e-01,3.347474e-01,1.275501e+00,1.953958e-01,1.788942e-02,1.953983e-03
1.959337e-08,2.094053e+04,1.206869e-01,3.459632e-01,1.281255e+00,2.103829e-01,1.277500e-02,7.362300e-04
1.964633e-08,2.094537e+04,1.311636e-01,3.811987e-01,1.354292e+00,2.205326e-01,1.348099e-02,1.013427e-03
1.969928e-08,2.091215e+04,1.334959e-01,3.942935e-01,1.403270e+00,2.383260e-01,1.797756e-02,3.588818e-03
1.975224e-08,2.096068e+04,1.383888e-01,3.725507e-01,1.364625e+00,2.451543e-01,2.047297e-02,7.072616e-03
1.980519e-08,2.093355e+04,1.535523e-01,3.280798e-01,1.324708e+00,2.457885e-01,1.934090e-02,9.910127e-03
1.985815e-08,2.094480e+04,1.829816e-01,3.227962e-01,1.357842e+00,2.387303e-01,2.396350e-02,1.174557e-02
1.991110e-08,2.095227e+04,2.060339e-01,3.417616e-01,1.442949e+00,2.271303e-01,3.763340e-02,1.030673e-02
1.996406e-08,2.090939e+04,2.013108e-01,3.464262e-01,1.476288e+00,2.129898e-01,4.671055e-02,1.290727e-02
2.001701e-08,2.088935e+04,1.741784e-01,3.576172e-01,1.458674e+00,2.014563e-01,4.470366e-02,1.584015e-02
2.006997e-08,2.087690e+04,1.521860e-01,3.479690e-01,1.436843e+00,2.256914e-01,3.722890e-02,1.011825e-02
2.012292e-08,2.085719e+04,1.493004e-01,3.189997e-01,1.413393e+00,2.557929e-01,2.555041e-02,5.743166e-03
2.017588e-08,2.081136e+04,1.534824e-01,3.354304e-01,1.411337e+00,2.570636e-01,1.526253e-02,6.014174e-03
2.022883e-08,2.090832e+04,1.504375e-01,3.812085e-01,1.401372e+00,2.265776e-01,9.906646e-03,5.472038e-03
2.028179e-08,2.084830e+04,1.433008e-01,3.957572e-01,1.372597e+00,2.147246e-01,7.266808e-03,7.211986e-03
2.033474e-08,2.083423e+04,1.513101e-01,4.012080e-01,1.344409e+00,2.232878e-01,1.182513e-02,1.063185e-02
2.038770e-08,2.078152e+04,1.784218e-01,3.898468e-01,1.322521e+00,2.071258e-01,1.752132e-02,1.074404e-02
2.044065e-08,2.083982e+04,1.907366e-01,3.653488e-01,1.310451e+00,1.960926e-01,1.204320e-02,8.493108e-03
2.049361e-08,2.078202e+04,1.784263e-01,3.671946e-01,1.294292e+00,2.004783e-01,6.144565e-03,4.422169e-03
2.054656e-08,2.077944e+04,1.685147e-01,3.735729e-01,1.284137e+00,1.988451e-01,8.743955e-03,1.652768e-03
2.059952e-08,2.074901e+04,1.658973e-01,3.571020e-01,1.313164e+00,1.933191e-01,1.821891e-02,1.319796e-03
2.065247e-08,2.074029e+04,1.430757e-01,3.577168e-01,1.368832e+00,1.839433e-01,2.586533e-02,2.362053e-03
2.070543e-08,2.077565e+04,1.207449e-01,3.528634e-01,1.392758e+00,1.753842e-01,2.383184e-02,7.554481e-03
2.075838e-08,2.079725e+04,1.277077e-01,3.364756e-01,1.381053e+00,1.980214e-01,2.264552e-02,1.737471e-02
2.081134e-08,2.076128e+04,1.538692e-01,3.277719e-01,1.397402e+00,2.330973e-01,2.239382e-02,2.407148e-02
2.086429e-08,2.077430e+04,1.728715e-01,3.616031e-01,1.418506e+00,2.470680e-01,2.076894e-02,2.234257e-02
2.091725e-08,2.073386e+04,1.568802e-01,4.080724e-01,1.392145e+00,2.289563e-01,1.612145e-02,1.486810e-02
2.097020e-08,2.078203e+04,1.346909e-01,3.847335e-01,1.310445e+00,2.089530e-01,8.555681e-03,9.106225e-03
2.102316e-08,2.073994e+04,1.320066e-01,3.283239e-01,1.249417e+00,2.049365e-01,4.669033e-03,9.463141e-03
2.107611e-08,2.080252e+04,1.526143e-01,3.102649e-01,1.254614e+00,2.067726e-01,6.183223e-03,1.039031e-02
2.112907e-08,2.073066e+04,1.672503e-01,3.188030e-01,1.278218e+00,2.110436e-01,9.326424e-03,7.635439e-03
2.118202e-08,2.075592e+04,1.528540e-01,3.214259e-01,1.251680e+00,2.164263e-01,1.016602e-02,4.787984e-03
2.123498e-08,2.073132e+04,1.260368e-01,3.264071e-01,1.238043e+00,2.326833e-01,1.117727e-02,3.455170e-03
2.128793e-08,2.069795e+04,1.221147e-01,3.423759e-01,1.313455e+00,2.462885e-01,1.042602e-02,5.340921e-03
2.134089e-08,2.075663e+04,1.517759e-01,3.517486e-01,1.394817e+00,2.412731e-01,6.347137e-03,9.227525e-03
2.139384e-08,2.078746e+04,1.865577e-01,3.677146e-01,1.409134e+00,2.191741e-01,3.442953e-03,1.208667e-02
2.144680e-08,2.081404e+04,1.934576e-01,3.788960e-01,1.393002e+00,1.997799e-01,4.075963e-03,1.323872e-02
2.149975e-08,2.077270e+04,2.040699e-01,3.467378e-01,1.376938e+00,1.959989e-01,9.419066e-03,8.349010e-03
2.155271e-08,2.077915e+04,2.201541e-01,3.112057e-01,1.361437e+00,2.017111e-01,1.967561e-02,3.218270e-03
2.160566e-08,2.081048e+04,2.188643e-01,2.835687e-01,1.345389e+00,2.020438e-01,2.670646e-02,1.981974e-03
2.165862e-08,2.077978e+04,1.950268e-01,2.662540e-01,1.336807e+00,2.156422e-01,2.673172e-02,2.726394e-03
2.171157e-08,2.085897e+04,1.727429e-01,2.833952e-01,1.365085e+00,2.396220e-01,2.495885e-02,4.946962e-03
2.176453e-08,2.081378e+04,1.696473e-01,3.231788e-01,1.398766e+00,2.438255e-01,2.189102e-02,8.736930e-03
